Nome do Produto,Classifica√ß√£o do Produto,PreÁo do Produto (R$),Quantidade em Estoque,Filial,Data da Venda
Corretivo,Alimentos,19.76,4,Filial 2,2023-08-18 03:29:53.201930
L√°pis de sobrancelha,Alimentos,38.88,60,Filial 10,2023-02-08 03:29:53.201930
M√°scara de c√≠lios,Eletrodom√©sticos,41.58,63,Filial 6,2023-03-07 03:29:53.201930
Sombra de olhos,Alimentos,26.4,58,Filial 4,2022-10-06 03:29:53.201930
Batom l√≠quido,Alimentos,8.15,7,Filial 7,2023-04-13 03:29:53.201930
Batom matte,Alimentos,24.32,8,Filial 10,2023-04-12 03:29:53.201930
Corretivo,Eletr√¥nicos,76.73,35,Filial 9,2023-01-09 03:29:53.201930
Batom matte,Alimentos,93.0,31,Filial 2,2023-02-28 03:29:53.201930
Base l√≠quida,Eletr√¥nicos,87.25,68,Filial 2,2023-04-17 03:29:53.201930
P√≥ compacto,Roupas,30.97,3,Filial 7,2023-07-29 03:29:53.201930
Blush em p√≥,Alimentos,72.67,68,Filial 7,2023-01-18 03:29:53.201930
Batom l√≠quido,Alimentos,19.48,34,Filial 2,2023-02-10 03:29:53.201930
Delineador l√≠quido,Eletr√¥nicos,58.99,25,Filial 5,2023-04-30 03:29:53.201930
Sombra de olhos,Roupas,79.04,12,Filial 5,2023-06-17 03:29:53.201930
P√≥ compacto,Roupas,49.95,2,Filial 3,2022-11-05 03:29:53.201930
Corretivo,Alimentos,47.09,65,Filial 9,2023-04-10 03:29:53.201930
Blush em p√≥,Eletr√¥nicos,89.97,19,Filial 9,2023-05-19 03:29:53.201930
Corretivo,Alimentos,14.07,44,Filial 1,2023-03-09 03:29:53.201930
P√≥ compacto,Eletr√¥nicos,46.29,92,Filial 9,2022-11-16 03:29:53.201930
Corretivo,Alimentos,10.11,96,Filial 8,2023-08-09 03:29:53.201930
Corretivo,Roupas,77.01,25,Filial 10,2023-08-11 03:29:53.201930
Sombra de olhos,Eletrodom√©sticos,64.67,72,Filial 5,2022-10-14 03:29:53.201930
Corretivo,Roupas,44.92,51,Filial 1,2022-08-28 03:29:53.201930
Corretivo,Eletrodom√©sticos,96.48,20,Filial 10,2023-02-15 03:29:53.201930
Batom matte,Alimentos,46.0,80,Filial 10,2022-10-22 03:29:53.201930
Blush em p√≥,Eletrodom√©sticos,57.2,52,Filial 6,2023-06-09 03:29:53.201930
Blush em p√≥,Eletr√¥nicos,71.42,100,Filial 2,2022-12-01 03:29:53.201930
Sombra de olhos,Eletr√¥nicos,83.78,18,Filial 1,2023-05-07 03:29:53.201930
P√≥ compacto,Eletr√¥nicos,70.9,94,Filial 8,2023-06-29 03:29:53.201930
Batom matte,Eletrodom√©sticos,27.36,69,Filial 5,2022-09-01 03:29:53.201930
Delineador l√≠quido,Eletr√¥nicos,18.05,64,Filial 1,2023-07-10 03:29:53.201930
Sombra de olhos,Eletrodom√©sticos,2.36,99,Filial 1,2022-09-01 03:29:53.201930
Blush em p√≥,Eletr√¥nicos,93.45,6,Filial 6,2022-10-07 03:29:53.201930
Delineador l√≠quido,Alimentos,19.32,54,Filial 1,2022-12-09 03:29:53.201930
Batom matte,Eletr√¥nicos,83.18,43,Filial 2,2023-02-09 03:29:53.201930
Blush em p√≥,Eletrodom√©sticos,40.7,29,Filial 10,2022-12-24 03:29:53.201930
Batom matte,Eletr√¥nicos,7.32,65,Filial 1,2023-07-18 03:29:53.201930
Delineador l√≠quido,Eletrodom√©sticos,85.72,33,Filial 8,2022-08-29 03:29:53.201930
L√°pis de sobrancelha,Eletrodom√©sticos,28.61,30,Filial 5,2022-11-18 03:29:53.201930
L√°pis de sobrancelha,Roupas,87.31,70,Filial 6,2023-07-27 03:29:53.201930
Blush em p√≥,Alimentos,32.27,94,Filial 4,2023-07-31 03:29:53.201930
P√≥ compacto,Roupas,30.31,86,Filial 2,2023-07-02 03:29:53.201930
Delineador l√≠quido,Roupas,62.77,47,Filial 5,2023-06-16 03:29:53.201930
Batom l√≠quido,Eletrodom√©sticos,66.84,5,Filial 3,2023-06-04 03:29:53.201930
Batom matte,Eletrodom√©sticos,24.98,60,Filial 6,2022-11-07 03:29:53.201930
L√°pis de sobrancelha,Alimentos,17.22,31,Filial 7,2023-03-16 03:29:53.201930
Sombra de olhos,Eletrodom√©sticos,15.48,91,Filial 3,2023-02-03 03:29:53.201930
Batom l√≠quido,Eletr√¥nicos,51.02,25,Filial 10,2023-07-08 03:29:53.201930
Sombra de olhos,Alimentos,61.62,84,Filial 7,2023-01-14 03:29:53.201930
Batom matte,Alimentos,71.73,90,Filial 8,2022-09-09 03:29:53.201930
Batom matte,Eletr√¥nicos,79.78,56,Filial 2,2023-01-15 03:29:53.201930
P√≥ compacto,Eletrodom√©sticos,84.31,54,Filial 1,2022-12-08 03:29:53.201930
P√≥ compacto,Alimentos,42.86,56,Filial 4,2022-10-29 03:29:53.201930
Corretivo,Eletrodom√©sticos,31.83,75,Filial 6,2022-10-30 03:29:53.201930
Sombra de olhos,Eletrodom√©sticos,17.6,51,Filial 6,2023-04-12 03:29:53.201930
Blush em p√≥,Eletrodom√©sticos,76.89,10,Filial 9,2022-11-03 03:29:53.201930
Sombra de olhos,Roupas,19.99,52,Filial 2,2022-11-14 03:29:53.201930
Delineador l√≠quido,Eletrodom√©sticos,53.01,87,Filial 9,2022-10-03 03:29:53.201930
Delineador l√≠quido,Roupas,9.64,76,Filial 3,2023-07-16 03:29:53.201930
Base l√≠quida,Roupas,52.78,86,Filial 8,2023-04-25 03:29:53.201930
Corretivo,Alimentos,80.99,87,Filial 10,2023-04-06 03:29:53.201930
Base l√≠quida,Alimentos,1.43,63,Filial 10,2023-03-13 03:29:53.201930
L√°pis de sobrancelha,Eletr√¥nicos,24.1,12,Filial 3,2023-08-10 03:29:53.201930
P√≥ compacto,Eletrodom√©sticos,84.03,12,Filial 1,2023-01-09 03:29:53.201930
Batom l√≠quido,Alimentos,82.98,37,Filial 2,2023-06-17 03:29:53.201930
Corretivo,Alimentos,41.71,38,Filial 5,2022-09-05 03:29:53.201930
Corretivo,Eletrodom√©sticos,82.59,33,Filial 8,2022-08-24 03:29:53.201930
M√°scara de c√≠lios,Alimentos,57.57,43,Filial 3,2023-01-25 03:29:53.201930
L√°pis de sobrancelha,Eletr√¥nicos,37.99,50,Filial 1,2022-11-28 03:29:53.201930
M√°scara de c√≠lios,Roupas,9.59,74,Filial 8,2022-11-18 03:29:53.201930
Batom l√≠quido,Alimentos,2.44,27,Filial 6,2022-09-14 03:29:53.201930
Corretivo,Roupas,29.6,65,Filial 9,2023-01-04 03:29:53.201930
Base l√≠quida,Alimentos,19.99,28,Filial 1,2023-08-17 03:29:53.201930
L√°pis de sobrancelha,Eletr√¥nicos,68.51,64,Filial 9,2023-08-20 03:29:53.201930
Sombra de olhos,Eletr√¥nicos,82.31,92,Filial 10,2022-10-06 03:29:53.201930
P√≥ compacto,Eletrodom√©sticos,12.88,23,Filial 1,2023-02-03 03:29:53.201930
P√≥ compacto,Alimentos,87.56,1,Filial 2,2022-11-26 03:29:53.201930
P√≥ compacto,Roupas,85.38,15,Filial 3,2023-07-25 03:29:53.201930
Sombra de olhos,Eletrodom√©sticos,93.77,4,Filial 1,2023-04-11 03:29:53.201930
Sombra de olhos,Eletr√¥nicos,2.7,7,Filial 3,2023-07-14 03:29:53.201930
Batom matte,Eletrodom√©sticos,2.14,74,Filial 1,2023-08-04 03:29:53.201930
P√≥ compacto,Alimentos,38.59,71,Filial 3,2022-09-01 03:29:53.201930
Base l√≠quida,Alimentos,37.88,98,Filial 4,2023-04-21 03:29:53.201930
M√°scara de c√≠lios,Eletrodom√©sticos,96.81,63,Filial 1,2022-11-10 03:29:53.201930
M√°scara de c√≠lios,Eletrodom√©sticos,69.51,17,Filial 8,2023-06-14 03:29:53.201930
Blush em p√≥,Alimentos,90.77,36,Filial 7,2023-01-05 03:29:53.201930
P√≥ compacto,Alimentos,98.15,9,Filial 7,2022-11-03 03:29:53.201930
Corretivo,Eletr√¥nicos,3.56,51,Filial 9,2023-07-03 03:29:53.201930
Batom matte,Roupas,77.93,23,Filial 4,2023-06-09 03:29:53.201930
Batom matte,Roupas,21.1,77,Filial 3,2023-07-27 03:29:53.201930
Batom matte,Roupas,4.78,5,Filial 1,2022-10-01 03:29:53.201930
P√≥ compacto,Alimentos,35.5,59,Filial 7,2022-09-08 03:29:53.201930
Corretivo,Eletr√¥nicos,86.36,66,Filial 3,2023-01-24 03:29:53.201930
Batom matte,Alimentos,59.17,59,Filial 7,2022-08-26 03:29:53.201930
Blush em p√≥,Eletr√¥nicos,73.3,35,Filial 5,2023-03-20 03:29:53.201930
Batom matte,Eletr√¥nicos,70.32,90,Filial 3,2023-03-23 03:29:53.201930
Base l√≠quida,Alimentos,50.82,47,Filial 10,2023-03-24 03:29:53.201930
Delineador l√≠quido,Eletr√¥nicos,9.15,33,Filial 6,2022-10-19 03:29:53.201930
Corretivo,Alimentos,31.84,41,Filial 7,2023-07-04 03:29:53.201930
P√≥ compacto,Eletrodom√©sticos,76.02,58,Filial 1,2023-06-14 03:29:53.201930
M√°scara de c√≠lios,Eletrodom√©sticos,11.69,23,Filial 6,2023-07-15 03:29:53.201930
L√°pis de sobrancelha,Alimentos,44.48,57,Filial 2,2022-10-24 03:29:53.201930
Batom l√≠quido,Roupas,27.08,46,Filial 7,2022-12-18 03:29:53.201930
P√≥ compacto,Eletr√¥nicos,38.3,56,Filial 10,2023-08-06 03:29:53.201930
P√≥ compacto,Eletrodom√©sticos,25.01,3,Filial 3,2023-08-22 03:29:53.201930
Batom matte,Alimentos,34.12,53,Filial 10,2022-10-01 03:29:53.201930
Corretivo,Eletr√¥nicos,50.52,74,Filial 7,2023-05-09 03:29:53.201930
Batom l√≠quido,Eletrodom√©sticos,85.32,53,Filial 1,2023-04-30 03:29:53.201930
P√≥ compacto,Alimentos,60.27,45,Filial 2,2023-04-01 03:29:53.201930
P√≥ compacto,Eletr√¥nicos,2.82,53,Filial 7,2023-08-20 03:29:53.201930
Base l√≠quida,Alimentos,97.89,76,Filial 5,2023-06-13 03:29:53.201930
Sombra de olhos,Eletrodom√©sticos,94.57,76,Filial 10,2023-02-04 03:29:53.201930
Delineador l√≠quido,Eletr√¥nicos,15.75,80,Filial 2,2023-03-10 03:29:53.201930
Blush em p√≥,Alimentos,64.35,4,Filial 7,2023-06-30 03:29:53.201930
Base l√≠quida,Roupas,47.71,83,Filial 8,2023-06-08 03:29:53.201930
Corretivo,Eletrodom√©sticos,93.69,14,Filial 3,2023-03-21 03:29:53.201930
Blush em p√≥,Roupas,61.93,77,Filial 4,2022-09-15 03:29:53.201930
Sombra de olhos,Roupas,27.17,48,Filial 4,2023-08-17 03:29:53.201930
Blush em p√≥,Eletrodom√©sticos,94.63,16,Filial 4,2022-09-23 03:29:53.201930
Corretivo,Eletrodom√©sticos,96.27,73,Filial 6,2023-03-14 03:29:53.201930
P√≥ compacto,Alimentos,52.23,51,Filial 9,2022-11-19 03:29:53.201930
Base l√≠quida,Alimentos,73.02,61,Filial 5,2023-03-29 03:29:53.201930
Batom matte,Roupas,76.5,43,Filial 8,2023-04-27 03:29:53.201930
Sombra de olhos,Alimentos,94.47,57,Filial 9,2023-04-04 03:29:53.201930
P√≥ compacto,Eletrodom√©sticos,50.3,76,Filial 3,2023-08-22 03:29:53.201930
Sombra de olhos,Alimentos,29.7,11,Filial 8,2023-01-18 03:29:53.201930
Base l√≠quida,Eletr√¥nicos,55.7,13,Filial 6,2023-02-24 03:29:53.201930
P√≥ compacto,Alimentos,50.36,48,Filial 10,2023-07-16 03:29:53.201930
Sombra de olhos,Alimentos,12.09,60,Filial 2,2023-05-20 03:29:53.201930
Batom l√≠quido,Roupas,51.96,12,Filial 6,2023-02-02 03:29:53.201930
Delineador l√≠quido,Roupas,97.02,24,Filial 3,2023-03-15 03:29:53.201930
Sombra de olhos,Eletrodom√©sticos,29.8,25,Filial 5,2022-11-27 03:29:53.201930
Batom l√≠quido,Alimentos,41.83,71,Filial 9,2023-02-28 03:29:53.201930
Blush em p√≥,Eletrodom√©sticos,35.14,75,Filial 3,2022-09-01 03:29:53.201930
Blush em p√≥,Eletrodom√©sticos,87.71,78,Filial 9,2023-01-24 03:29:53.201930
L√°pis de sobrancelha,Alimentos,12.72,1,Filial 2,2023-03-14 03:29:53.201930
Corretivo,Eletr√¥nicos,15.97,24,Filial 3,2022-10-24 03:29:53.201930
Sombra de olhos,Alimentos,78.38,48,Filial 2,2023-06-07 03:29:53.201930
Corretivo,Eletr√¥nicos,63.39,73,Filial 7,2023-05-22 03:29:53.201930
Batom matte,Roupas,72.73,81,Filial 6,2023-03-18 03:29:53.201930
Blush em p√≥,Eletr√¥nicos,77.1,33,Filial 8,2023-03-19 03:29:53.201930
L√°pis de sobrancelha,Eletrodom√©sticos,46.09,25,Filial 1,2023-02-25 03:29:53.201930
M√°scara de c√≠lios,Eletr√¥nicos,57.07,88,Filial 7,2022-09-06 03:29:53.201930
Blush em p√≥,Roupas,57.55,80,Filial 3,2023-06-29 03:29:53.201930
L√°pis de sobrancelha,Roupas,35.39,7,Filial 4,2023-03-19 03:29:53.201930
P√≥ compacto,Eletr√¥nicos,79.19,34,Filial 8,2023-01-21 03:29:53.201930
L√°pis de sobrancelha,Roupas,91.41,88,Filial 10,2022-10-21 03:29:53.201930
P√≥ compacto,Eletrodom√©sticos,50.92,68,Filial 1,2023-04-07 03:29:53.201930
L√°pis de sobrancelha,Roupas,11.81,89,Filial 10,2023-03-29 03:29:53.201930
Blush em p√≥,Alimentos,2.03,65,Filial 5,2022-11-24 03:29:53.201930
Blush em p√≥,Roupas,39.25,83,Filial 10,2023-07-14 03:29:53.201930
Batom matte,Eletr√¥nicos,10.0,92,Filial 10,2023-08-12 03:29:53.201930
P√≥ compacto,Alimentos,25.17,42,Filial 10,2022-09-15 03:29:53.201930
Base l√≠quida,Roupas,31.32,69,Filial 2,2022-12-07 03:29:53.201930
Batom matte,Alimentos,39.39,94,Filial 2,2023-07-09 03:29:53.201930
M√°scara de c√≠lios,Eletrodom√©sticos,42.56,22,Filial 10,2022-11-13 03:29:53.201930
Delineador l√≠quido,Alimentos,82.57,54,Filial 9,2022-12-08 03:29:53.201930
Batom l√≠quido,Eletrodom√©sticos,68.12,26,Filial 1,2022-09-11 03:29:53.201930
Batom matte,Alimentos,12.02,45,Filial 4,2023-01-19 03:29:53.201930
Blush em p√≥,Eletr√¥nicos,30.01,26,Filial 6,2022-12-12 03:29:53.201930
Batom l√≠quido,Alimentos,5.64,95,Filial 6,2022-09-28 03:29:53.201930
Blush em p√≥,Roupas,85.78,53,Filial 9,2022-11-28 03:29:53.201930
P√≥ compacto,Alimentos,17.21,75,Filial 4,2023-07-25 03:29:53.201930
L√°pis de sobrancelha,Eletrodom√©sticos,73.24,65,Filial 5,2022-11-10 03:29:53.201930
Base l√≠quida,Eletr√¥nicos,60.06,87,Filial 7,2023-02-14 03:29:53.201930
Corretivo,Eletr√¥nicos,45.14,94,Filial 1,2022-11-26 03:29:53.201930
Base l√≠quida,Roupas,22.78,68,Filial 9,2023-02-02 03:29:53.201930
Blush em p√≥,Alimentos,55.52,33,Filial 6,2023-06-11 03:29:53.201930
L√°pis de sobrancelha,Eletr√¥nicos,14.2,10,Filial 6,2022-10-22 03:29:53.201930
L√°pis de sobrancelha,Eletr√¥nicos,82.46,47,Filial 5,2023-06-28 03:29:53.201930
Corretivo,Eletr√¥nicos,21.49,16,Filial 10,2022-08-29 03:29:53.201930
M√°scara de c√≠lios,Eletrodom√©sticos,16.48,64,Filial 8,2022-10-09 03:29:53.201930
P√≥ compacto,Eletr√¥nicos,81.83,4,Filial 4,2023-07-12 03:29:53.201930
Blush em p√≥,Roupas,9.69,49,Filial 3,2023-06-06 03:29:53.201930
M√°scara de c√≠lios,Roupas,46.52,68,Filial 2,2023-06-11 03:29:53.201930
Batom matte,Eletr√¥nicos,87.42,57,Filial 3,2022-09-22 03:29:53.201930
Corretivo,Alimentos,70.88,59,Filial 3,2023-03-12 03:29:53.201930
M√°scara de c√≠lios,Eletrodom√©sticos,87.29,18,Filial 9,2023-03-02 03:29:53.201930
Base l√≠quida,Eletr√¥nicos,14.71,67,Filial 9,2023-01-21 03:29:53.201930
M√°scara de c√≠lios,Alimentos,42.15,65,Filial 2,2023-01-09 03:29:53.201930
Corretivo,Roupas,33.59,38,Filial 2,2022-09-25 03:29:53.201930
Delineador l√≠quido,Alimentos,84.24,73,Filial 10,2022-12-17 03:29:53.201930
Batom matte,Eletr√¥nicos,45.88,13,Filial 4,2023-06-09 03:29:53.201930
Corretivo,Eletrodom√©sticos,9.7,15,Filial 9,2023-01-14 03:29:53.201930
Blush em p√≥,Roupas,80.98,6,Filial 3,2022-09-06 03:29:53.201930
Delineador l√≠quido,Alimentos,3.7,37,Filial 7,2022-11-17 03:29:53.201930
L√°pis de sobrancelha,Alimentos,7.37,51,Filial 3,2023-02-07 03:29:53.201930
Sombra de olhos,Eletrodom√©sticos,21.27,97,Filial 10,2022-11-19 03:29:53.201930
Base l√≠quida,Alimentos,49.3,17,Filial 3,2023-06-19 03:29:53.201930
Base l√≠quida,Eletrodom√©sticos,24.23,53,Filial 5,2023-03-18 03:29:53.201930
L√°pis de sobrancelha,Alimentos,8.96,75,Filial 10,2023-04-02 03:29:53.201930
Blush em p√≥,Alimentos,18.26,97,Filial 9,2022-11-26 03:29:53.201930
Sombra de olhos,Eletrodom√©sticos,55.64,76,Filial 7,2023-04-05 03:29:53.201930
Corretivo,Alimentos,15.12,57,Filial 6,2023-04-03 03:29:53.201930
P√≥ compacto,Eletrodom√©sticos,86.13,22,Filial 1,2022-11-17 03:29:53.201930
Corretivo,Alimentos,17.45,35,Filial 1,2022-11-16 03:29:53.201930
M√°scara de c√≠lios,Eletr√¥nicos,46.45,13,Filial 1,2023-02-25 03:29:53.201930
P√≥ compacto,Roupas,71.06,19,Filial 2,2023-07-17 03:29:53.201930
Delineador l√≠quido,Alimentos,79.98,46,Filial 9,2022-10-06 03:29:53.201930
Base l√≠quida,Eletrodom√©sticos,79.87,100,Filial 7,2023-07-31 03:29:53.201930
Delineador l√≠quido,Eletrodom√©sticos,33.04,53,Filial 7,2023-03-23 03:29:53.201930
L√°pis de sobrancelha,Eletr√¥nicos,58.22,72,Filial 9,2023-07-22 03:29:53.201930
Corretivo,Eletr√¥nicos,75.96,55,Filial 4,2023-01-21 03:29:53.201930
Batom matte,Alimentos,50.78,48,Filial 9,2023-05-14 03:29:53.201930
P√≥ compacto,Eletrodom√©sticos,16.51,58,Filial 1,2023-05-06 03:29:53.201930
Base l√≠quida,Eletr√¥nicos,88.74,73,Filial 2,2022-12-13 03:29:53.201930
Batom matte,Eletrodom√©sticos,2.01,44,Filial 10,2022-09-15 03:29:53.201930
M√°scara de c√≠lios,Eletr√¥nicos,22.35,10,Filial 1,2022-09-20 03:29:53.201930
Delineador l√≠quido,Eletr√¥nicos,51.11,97,Filial 9,2023-05-08 03:29:53.201930
Delineador l√≠quido,Alimentos,39.68,65,Filial 7,2023-05-29 03:29:53.201930
Corretivo,Roupas,14.52,15,Filial 6,2023-05-31 03:29:53.201930
M√°scara de c√≠lios,Roupas,13.03,8,Filial 1,2023-05-07 03:29:53.201930
Sombra de olhos,Eletrodom√©sticos,54.09,42,Filial 5,2022-10-15 03:29:53.201930
Corretivo,Eletr√¥nicos,79.2,69,Filial 7,2023-05-06 03:29:53.201930
L√°pis de sobrancelha,Eletr√¥nicos,17.65,63,Filial 2,2023-02-07 03:29:53.201930
Blush em p√≥,Eletrodom√©sticos,53.35,100,Filial 4,2023-07-17 03:29:53.201930
L√°pis de sobrancelha,Roupas,50.87,73,Filial 1,2023-04-12 03:29:53.201930
Batom l√≠quido,Alimentos,55.73,75,Filial 6,2023-05-14 03:29:53.201930
P√≥ compacto,Alimentos,26.35,84,Filial 3,2023-07-04 03:29:53.201930
L√°pis de sobrancelha,Eletrodom√©sticos,61.64,42,Filial 7,2023-01-11 03:29:53.201930
Delineador l√≠quido,Eletrodom√©sticos,36.82,85,Filial 10,2023-01-28 03:29:53.201930
M√°scara de c√≠lios,Alimentos,74.03,3,Filial 1,2022-10-31 03:29:53.201930
L√°pis de sobrancelha,Eletrodom√©sticos,24.44,66,Filial 1,2023-05-16 03:29:53.201930
Batom l√≠quido,Eletr√¥nicos,32.19,11,Filial 10,2023-03-10 03:29:53.201930
Batom matte,Eletrodom√©sticos,11.59,64,Filial 6,2023-08-19 03:29:53.201930
L√°pis de sobrancelha,Eletrodom√©sticos,4.81,51,Filial 10,2022-12-19 03:29:53.201930
Batom matte,Roupas,98.05,49,Filial 4,2022-09-26 03:29:53.201930
Sombra de olhos,Eletrodom√©sticos,75.15,80,Filial 9,2023-08-02 03:29:53.201930
Blush em p√≥,Alimentos,55.74,40,Filial 8,2022-12-31 03:29:53.201930
Corretivo,Eletr√¥nicos,85.44,9,Filial 10,2023-05-23 03:29:53.201930
L√°pis de sobrancelha,Eletr√¥nicos,43.03,37,Filial 3,2022-12-13 03:29:53.201930
Blush em p√≥,Eletr√¥nicos,41.8,58,Filial 7,2023-01-07 03:29:53.201930
Batom l√≠quido,Roupas,25.07,18,Filial 3,2022-11-18 03:29:53.201930
Batom l√≠quido,Alimentos,52.34,100,Filial 8,2022-10-08 03:29:53.201930
L√°pis de sobrancelha,Eletrodom√©sticos,19.83,86,Filial 10,2023-03-19 03:29:53.201930
L√°pis de sobrancelha,Roupas,18.74,3,Filial 6,2023-07-22 03:29:53.201930
Batom matte,Roupas,87.96,71,Filial 9,2023-06-27 03:29:53.201930
Corretivo,Alimentos,59.41,34,Filial 4,2022-10-09 03:29:53.201930
L√°pis de sobrancelha,Eletrodom√©sticos,86.44,62,Filial 8,2022-11-24 03:29:53.201930
P√≥ compacto,Eletrodom√©sticos,71.76,82,Filial 2,2023-03-21 03:29:53.201930
Corretivo,Eletr√¥nicos,22.58,41,Filial 6,2023-08-03 03:29:53.201930
Batom matte,Alimentos,30.74,28,Filial 1,2023-03-21 03:29:53.201930
Delineador l√≠quido,Alimentos,29.01,98,Filial 3,2023-04-30 03:29:53.201930
Sombra de olhos,Eletrodom√©sticos,12.02,14,Filial 8,2023-05-25 03:29:53.201930
Batom matte,Eletr√¥nicos,52.33,100,Filial 1,2023-06-06 03:29:53.201930
Corretivo,Alimentos,71.72,59,Filial 9,2023-04-22 03:29:53.201930
M√°scara de c√≠lios,Eletrodom√©sticos,33.12,30,Filial 8,2022-11-28 03:29:53.201930
Blush em p√≥,Eletr√¥nicos,34.01,56,Filial 5,2023-01-30 03:29:53.201930
Base l√≠quida,Eletr√¥nicos,59.21,21,Filial 1,2023-06-19 03:29:53.201930
P√≥ compacto,Eletr√¥nicos,93.77,55,Filial 6,2023-03-01 03:29:53.201930
Corretivo,Eletr√¥nicos,60.78,39,Filial 5,2022-09-07 03:29:53.201930
Delineador l√≠quido,Eletrodom√©sticos,97.8,99,Filial 1,2023-05-28 03:29:53.201930
Sombra de olhos,Alimentos,90.38,51,Filial 1,2022-11-27 03:29:53.201930
P√≥ compacto,Eletrodom√©sticos,8.89,74,Filial 9,2022-11-24 03:29:53.201930
Corretivo,Alimentos,27.29,55,Filial 7,2023-08-10 03:29:53.201930
Corretivo,Alimentos,58.78,45,Filial 9,2022-09-30 03:29:53.201930
Batom l√≠quido,Alimentos,94.14,81,Filial 9,2022-10-27 03:29:53.201930
Corretivo,Alimentos,21.7,86,Filial 4,2022-10-04 03:29:53.201930
Base l√≠quida,Roupas,74.02,79,Filial 1,2023-06-10 03:29:53.201930
P√≥ compacto,Alimentos,1.01,26,Filial 8,2022-11-30 03:29:53.201930
L√°pis de sobrancelha,Eletrodom√©sticos,27.05,8,Filial 5,2022-08-29 03:29:53.201930
M√°scara de c√≠lios,Roupas,67.25,70,Filial 4,2022-12-21 03:29:53.201930
Blush em p√≥,Roupas,96.57,11,Filial 9,2023-06-13 03:29:53.201930
P√≥ compacto,Alimentos,49.24,79,Filial 1,2023-06-10 03:29:53.201930
Delineador l√≠quido,Roupas,66.12,54,Filial 8,2022-09-29 03:29:53.201930
Delineador l√≠quido,Eletrodom√©sticos,59.74,32,Filial 9,2023-01-13 03:29:53.201930
Batom matte,Alimentos,69.47,17,Filial 6,2023-07-14 03:29:53.201930
Batom l√≠quido,Alimentos,30.08,52,Filial 8,2023-05-17 03:29:53.201930
Sombra de olhos,Roupas,22.16,11,Filial 4,2023-04-27 03:29:53.201930
L√°pis de sobrancelha,Eletr√¥nicos,70.5,73,Filial 9,2022-11-11 03:29:53.201930
Blush em p√≥,Alimentos,43.19,31,Filial 10,2022-10-18 03:29:53.201930
Delineador l√≠quido,Alimentos,53.25,52,Filial 6,2023-07-17 03:29:53.201930
Sombra de olhos,Roupas,83.85,30,Filial 10,2022-11-16 03:29:53.201930
L√°pis de sobrancelha,Roupas,55.79,88,Filial 6,2023-03-18 03:29:53.201930
Base l√≠quida,Alimentos,20.83,53,Filial 10,2023-02-08 03:29:53.201930
Corretivo,Roupas,72.64,55,Filial 1,2023-01-16 03:29:53.201930
L√°pis de sobrancelha,Roupas,11.79,93,Filial 10,2022-12-05 03:29:53.201930
Blush em p√≥,Alimentos,2.38,10,Filial 7,2023-01-09 03:29:53.201930
Batom l√≠quido,Roupas,7.24,80,Filial 3,2023-05-04 03:29:53.201930
Corretivo,Eletr√¥nicos,1.91,36,Filial 10,2022-11-11 03:29:53.201930
L√°pis de sobrancelha,Alimentos,54.83,44,Filial 2,2022-12-31 03:29:53.201930
P√≥ compacto,Eletr√¥nicos,86.79,73,Filial 4,2023-04-26 03:29:53.201930
Base l√≠quida,Roupas,21.17,38,Filial 6,2022-09-11 03:29:53.201930
M√°scara de c√≠lios,Alimentos,49.0,57,Filial 2,2023-04-15 03:29:53.201930
Blush em p√≥,Roupas,74.03,11,Filial 8,2023-08-01 03:29:53.201930
P√≥ compacto,Eletr√¥nicos,45.74,2,Filial 2,2023-01-27 03:29:53.201930
Delineador l√≠quido,Alimentos,64.28,13,Filial 8,2023-08-06 03:29:53.201930
Blush em p√≥,Alimentos,78.92,91,Filial 4,2023-05-31 03:29:53.201930
Sombra de olhos,Alimentos,61.5,33,Filial 6,2022-12-01 03:29:53.201930
Delineador l√≠quido,Roupas,58.14,53,Filial 7,2023-04-04 03:29:53.201930
M√°scara de c√≠lios,Eletrodom√©sticos,4.06,74,Filial 2,2022-11-19 03:29:53.201930
L√°pis de sobrancelha,Eletrodom√©sticos,57.22,5,Filial 5,2023-03-23 03:29:53.201930
Blush em p√≥,Eletr√¥nicos,89.11,55,Filial 8,2022-09-01 03:29:53.201930
L√°pis de sobrancelha,Eletr√¥nicos,6.12,70,Filial 3,2023-02-21 03:29:53.201930
P√≥ compacto,Eletr√¥nicos,58.75,74,Filial 1,2022-08-29 03:29:53.201930
Blush em p√≥,Roupas,3.61,6,Filial 3,2022-11-10 03:29:53.201930
P√≥ compacto,Eletr√¥nicos,28.62,11,Filial 5,2023-01-02 03:29:53.201930
Corretivo,Roupas,29.39,35,Filial 2,2023-05-15 03:29:53.201930
Sombra de olhos,Eletrodom√©sticos,43.82,12,Filial 10,2023-07-06 03:29:53.201930
P√≥ compacto,Roupas,84.06,67,Filial 3,2023-06-04 03:29:53.201930
Sombra de olhos,Roupas,31.5,64,Filial 5,2023-07-15 03:29:53.201930
M√°scara de c√≠lios,Eletrodom√©sticos,53.26,1,Filial 10,2023-07-28 03:29:53.201930
P√≥ compacto,Alimentos,90.17,8,Filial 4,2022-12-31 03:29:53.201930
Delineador l√≠quido,Eletrodom√©sticos,67.07,69,Filial 6,2022-10-10 03:29:53.201930
Blush em p√≥,Alimentos,16.35,75,Filial 6,2022-10-03 03:29:53.201930
